userId,mean_user_rating,views_per_day,log_total_views,user_cluster
4864,3.689655172413793,0.6675191815856778,5.568344503761097,1
3338,3.1203007518796992,1.5465116279069768,4.897839799950911,1
3654,4.111111111111111,0.45454545454545453,3.828641396489095,1
1540,3.2291666666666665,48.0,3.8918202981106265,0
751,3.857142857142857,0.125,3.091042453358316,1
2729,4.0625,32.0,3.4965075614664802,0
3169,3.2413793103448274,29.0,3.4011973816621555,0
2229,3.1846689895470384,0.6597701149425287,5.662960480135946,1
1947,3.978723404255319,3.6153846153846154,4.553876891600541,1
3910,4.10126582278481,0.23652694610778444,4.382026634673881,1
2892,3.6029411764705883,0.9855072463768116,4.919980925828125,1
5223,3.7037037037037037,27.0,3.332204510175204,0
2572,4.086956521739131,23.0,3.1780538303479458,0
2043,3.8876404494382024,0.27134146341463417,4.499809670330265,1
1897,4.258064516129032,31.0,3.4657359027997265,0
4916,3.9213483146067416,1.2714285714285714,4.499809670330265,1
6354,4.142857142857143,0.2828282828282828,3.367295829986474,1
5375,3.9580246913580246,1.1571428571428573,6.0063531596017325,1
4509,3.836206896551724,0.8592592592592593,4.762173934797756,1
1777,3.7,1.0185185185185186,4.709530201312334,1
1259,3.6144578313253013,83.0,4.430816798843313,0
4369,4.133333333333334,45.0,3.828641396489095,0
5678,4.083333333333333,24.0,3.2188758248682006,0
4757,4.37037037037037,27.0,3.332204510175204,0
2836,3.2739726027397262,0.4010989010989011,4.30406509320417,1
6446,3.6549295774647885,0.3169642857142857,4.962844630259907,1
3870,3.7212389380530975,0.6807228915662651,5.424950017481403,1
5132,4.025,40.0,3.713572066704308,0
4053,4.137931034482759,0.1638418079096045,4.07753744390572,1
491,3.606060606060606,5.5,3.5263605246161616,1
4582,3.8181818181818183,22.0,3.1354942159291497,0
1136,3.911764705882353,1.0625,3.5553480614894135,1
2678,3.6805555555555554,72.0,4.290459441148391,0
1928,3.9669421487603307,4.321428571428571,4.804021044733257,1
611,3.88,75.0,4.330733340286331,0
4025,3.772727272727273,22.0,3.1354942159291497,0
3644,3.96875,32.0,3.4965075614664802,0
5358,3.6666666666666665,21.0,3.091042453358316,0
2237,4.2727272727272725,22.0,3.1354942159291497,0
6330,3.8679245283018866,53.0,3.9889840465642745,0
2972,3.4262295081967213,0.6421052631578947,5.214935757608986,1
4865,4.090909090909091,44.0,3.8066624897703196,0
6443,4.258064516129032,31.0,3.4657359027997265,0
2585,3.4838709677419355,31.0,3.4657359027997265,0
524,3.423076923076923,26.0,3.295836866004329,0
2635,4.076923076923077,26.0,3.295836866004329,0
3311,3.0961538461538463,52.0,3.970291913552122,0
4059,3.1065573770491803,122.0,4.812184355372417,0
3559,3.6129032258064515,31.0,3.4657359027997265,0
4176,3.675,1.0084033613445378,4.795790545596741,1
1178,3.611111111111111,7.2,3.6109179126442243,1
172,3.2222222222222223,36.0,3.6109179126442243,0
438,2.670886075949367,79.0,4.382026634673881,0
4487,3.05,20.0,3.044522437723423,0
1995,3.1363636363636362,22.0,3.1354942159291497,0
2884,3.2,20.0,3.044522437723423,0
2798,3.0952380952380953,21.0,3.091042453358316,0
1514,3.4220183486238533,0.3168604651162791,4.700480365792417,1
224,3.4074074074074074,27.0,3.332204510175204,0
1764,3.769230769230769,39.0,3.6888794541139363,0
5082,3.32,50.0,3.9318256327243257,0
452,3.823529411764706,34.0,3.5553480614894135,0
6287,3.1724137931034484,29.0,3.4011973816621555,0
6063,3.4444444444444446,6.75,3.332204510175204,1
3442,4.0,20.0,3.044522437723423,0
4682,3.302325581395349,43.0,3.784189633918261,0
2738,3.35,20.0,3.044522437723423,0
3435,4.086956521739131,23.0,3.1780538303479458,0
963,3.5,20.0,3.044522437723423,0
2271,3.16,25.0,3.258096538021482,0
2429,3.823529411764706,34.0,3.5553480614894135,0
68,3.5,32.0,3.4965075614664802,0
5212,3.52,25.0,3.258096538021482,0
773,3.3636363636363638,33.0,3.5263605246161616,0
4218,2.6538461538461537,26.0,3.295836866004329,0
5200,4.0606060606060606,33.0,3.5263605246161616,0
6087,3.6666666666666665,27.0,3.332204510175204,0
5381,3.8518518518518516,27.0,3.332204510175204,0
6348,3.326923076923077,52.0,3.970291913552122,0
760,3.4885496183206106,4.366666666666666,4.882801922586371,1
4862,3.5428571428571427,0.9459459459459459,3.58351893845611,1
677,3.4444444444444446,36.0,3.6109179126442243,0
6409,3.8405797101449277,69.0,4.248495242049359,0
5683,4.0,61.0,4.127134385045092,0
2779,3.64,25.0,3.258096538021482,0
5277,3.142857142857143,42.0,3.7612001156935624,0
5211,3.5652173913043477,23.0,3.1780538303479458,0
3058,3.817204301075269,93.0,4.543294782270004,0
2885,4.023809523809524,2.4705882352941178,3.7612001156935624,1
2575,4.101694915254237,59.0,4.0943445622221,0
4579,3.36,25.0,3.258096538021482,0
2505,3.4805194805194803,77.0,4.356708826689592,0
5033,3.7551020408163267,49.0,3.912023005428146,0
3090,3.8,20.0,3.044522437723423,0
5494,4.083333333333333,96.0,4.574710978503383,0
2200,3.807017543859649,57.0,4.060443010546419,0
4934,3.9863013698630136,73.0,4.30406509320417,0
6473,3.638888888888889,36.0,3.6109179126442243,0
5524,3.2954545454545454,44.0,3.8066624897703196,0
3333,3.2142857142857144,42.0,3.7612001156935624,0
1725,3.3548387096774195,31.0,3.4657359027997265,0
3505,3.5625,64.0,4.174387269895637,0
3439,2.7590361445783134,83.0,4.430816798843313,0
3713,3.5606060606060606,66.0,4.204692619390966,0
202,3.186046511627907,86.0,4.465908118654584,0
1208,3.742857142857143,35.0,3.58351893845611,0
4702,3.145038167938931,131.0,4.882801922586371,0
1975,3.0416666666666665,48.0,3.8918202981106265,0
87,2.8857142857142857,35.0,3.58351893845611,0
5379,3.5555555555555554,6.923076923076923,4.51085950651685,1
2233,3.5042735042735043,0.7267080745341615,4.770684624465665,1
6671,3.5555555555555554,27.0,3.332204510175204,0
6611,3.779310344827586,0.19568151147098514,4.983606621708336,1
3302,3.6944444444444446,36.0,3.6109179126442243,0
4888,4.171428571428572,35.0,3.58351893845611,0
5093,3.7241379310344827,29.0,3.4011973816621555,0
5402,3.576923076923077,26.0,3.970291913552122,0
1143,3.4857142857142858,70.0,4.2626798770413155,0
3013,3.2705882352941176,85.0,4.454347296253507,0
5824,3.975609756097561,41.0,3.7376696182833684,0
6228,3.723076923076923,65.0,4.189654742026425,0
5120,3.7464788732394365,71.0,4.276666119016055,0
1820,3.68,50.0,3.9318256327243257,0
2312,4.0,27.0,3.332204510175204,0
1160,3.3766233766233764,0.32489451476793246,4.356708826689592,1
683,3.7,40.0,3.713572066704308,0
3594,3.295774647887324,0.42011834319526625,4.276666119016055,1
244,4.053571428571429,56.0,4.04305126783455,0
6276,2.9285714285714284,98.0,4.59511985013459,0
2602,3.157142857142857,70.0,4.2626798770413155,0
607,3.4242424242424243,33.0,3.5263605246161616,0
1112,3.375,24.0,3.2188758248682006,0
4481,3.9393939393939394,66.0,4.204692619390966,0
5140,3.0357142857142856,56.0,4.04305126783455,0
3299,3.4285714285714284,9.333333333333334,3.367295829986474,1
4365,3.232876712328767,1.825,4.30406509320417,1
2784,3.0714285714285716,42.0,3.7612001156935624,0
5585,3.9,3.7142857142857144,4.875197323201151,1
5307,3.3333333333333335,27.0,3.332204510175204,0
2066,3.161764705882353,68.0,4.23410650459726,0
1698,3.2660550458715596,5.7368421052631575,4.700480365792417,1
3370,3.5,26.0,3.295836866004329,0
4942,3.32,25.0,3.258096538021482,0
4434,3.36,0.1937984496124031,4.330733340286331,1
146,3.409090909090909,22.0,3.1354942159291497,0
4363,3.375,32.0,3.4965075614664802,0
6198,3.4634146341463414,41.0,3.7376696182833684,0
5496,3.7419354838709675,31.0,3.4657359027997265,0
4948,3.240740740740741,1.125,4.007333185232471,1
1740,3.130434782608696,23.0,3.1780538303479458,0
2746,3.1923076923076925,26.0,3.295836866004329,0
330,3.0136363636363637,73.33333333333333,5.3981627015177525,0
1658,3.6315789473684212,57.0,4.060443010546419,0
2121,3.308641975308642,81.0,4.406719247264253,0
1359,3.4415584415584415,3.85,4.356708826689592,1
1066,3.5185185185185186,27.0,3.332204510175204,0
1773,3.772727272727273,22.0,3.1354942159291497,0
4832,3.647887323943662,71.0,4.276666119016055,0
4480,3.7857142857142856,7.0,4.2626798770413155,1
3382,3.6666666666666665,39.0,3.6888794541139363,0
4110,3.269230769230769,26.0,3.295836866004329,0
6711,3.5675675675675675,37.0,3.6375861597263857,0
5638,3.423076923076923,52.0,3.970291913552122,0
4873,3.1875,32.0,3.4965075614664802,0
263,3.6271186440677967,59.0,4.0943445622221,0
4112,3.358490566037736,53.0,3.9889840465642745,0
2705,4.076923076923077,26.0,3.295836866004329,0
3934,3.5384615384615383,2.6666666666666665,4.653960350157523,1
3371,3.417910447761194,67.0,4.219507705176107,0
6118,3.5555555555555554,36.0,3.6109179126442243,0
1671,3.482142857142857,56.0,4.04305126783455,0
3628,3.5813953488372094,2.9655172413793105,4.465908118654584,1
3065,3.9444444444444446,36.0,3.6109179126442243,0
6404,3.3636363636363638,44.0,3.8066624897703196,0
84,4.055555555555555,36.0,3.6109179126442243,0
3672,3.3,30.0,3.4339872044851463,0
6017,3.3513513513513513,148.0,5.003946305945459,0
2694,3.785185185185185,0.3349875930521092,4.912654885736052,1
2332,3.62,1.6666666666666667,3.9318256327243257,1
3423,3.5945945945945947,37.0,3.6375861597263857,0
4444,3.4375,48.0,3.8918202981106265,0
1718,4.325,0.8247422680412371,4.394449154672439,1
4981,3.30188679245283,53.0,3.9889840465642745,0
3824,3.090909090909091,22.0,3.1354942159291497,0
1404,4.0,30.0,3.4339872044851463,0
4729,3.611111111111111,36.0,3.6109179126442243,0
4443,3.5517241379310347,29.0,3.4011973816621555,0
5156,3.3513513513513513,37.0,3.6375861597263857,0
2904,3.1739130434782608,23.0,3.1780538303479458,0
5910,3.1538461538461537,26.0,3.295836866004329,0
1407,3.5476190476190474,42.0,3.7612001156935624,0
2807,3.638888888888889,36.0,3.6109179126442243,0
6149,3.8,20.0,3.044522437723423,0
2562,3.257142857142857,35.0,3.58351893845611,0
5636,3.642512077294686,0.7723880597014925,5.337538079701318,1
2990,3.3333333333333335,39.0,3.6888794541139363,0
722,4.108695652173913,46.0,3.8501476017100584,0
6742,4.45,20.0,3.044522437723423,0
5579,4.0,25.0,3.258096538021482,0
6729,2.7,40.0,3.713572066704308,0
6643,3.347826086956522,69.0,4.248495242049359,0
274,3.0454545454545454,22.0,3.1354942159291497,0
5510,3.2384615384615385,2.2413793103448274,4.875197323201151,1
4539,3.5944055944055946,143.0,4.969813299576001,0
1215,3.7586206896551726,29.0,3.4011973816621555,0
6450,3.6551724137931036,58.0,4.07753744390572,0
1709,3.206896551724138,29.0,3.4011973816621555,0
6246,2.297872340425532,47.0,3.871201010907891,0
956,3.452830188679245,53.0,3.9889840465642745,0
3636,3.7,20.0,3.044522437723423,0
6260,3.870967741935484,62.0,4.143134726391533,0
5723,3.6619718309859155,0.7802197802197802,4.276666119016055,1
1204,3.36,25.0,3.258096538021482,0
1617,3.0671641791044775,134.0,4.90527477843843,0
816,3.9291338582677167,0.7215909090909091,4.852030263919617,1
4788,3.843137254901961,51.0,3.9512437185814275,0
6037,4.142857142857143,0.8,3.367295829986474,1
2149,3.3142857142857145,35.0,3.58351893845611,0
2306,3.606060606060606,66.0,4.204692619390966,0
3532,2.359375,128.0,4.859812404361672,0
4327,4.0375,1.7777777777777777,4.394449154672439,1
6188,3.778688524590164,0.32189973614775724,4.812184355372417,1
331,3.24031007751938,129.0,4.867534450455582,0
